,geometry
20,"POLYGON ((103.8277035166873 1.468411346329196, 103.8272909537936 1.468173153031454, 103.827492204049 1.46853149475301, 103.8277035166873 1.468411346329196))"
21,"POLYGON ((103.7997415444365 1.46680415809919, 103.7988863180816 1.466310392932936, 103.7983533931856 1.466618077265063, 103.79903753947 1.46704545461646, 103.799423185576 1.46695100701214, 103.799432220344 1.46682053736006, 103.7997415444365 1.46680415809919))"
22,"POLYGON ((103.8014294191279 1.468196747622955, 103.8017914996868 1.467987700314786, 103.8017914996868 1.466869495393553, 103.8008231058184 1.466310392932936, 103.7998764762899 1.466856929746043, 103.800274254369 1.46712348373078, 103.800480362548 1.46725270403315, 103.800808132897 1.46753201062825, 103.801077474962 1.46780948318439, 103.8014294191279 1.468196747622955))"
23,"POLYGON ((103.8027598935553 1.468546802775403, 103.8037282874237 1.467987700314786, 103.8037282874237 1.466869495393553, 103.8027598935553 1.466310392932936, 103.8017914996868 1.466869495393553, 103.8017914996868 1.467987700314786, 103.8027598935553 1.468546802775403))"
24,"POLYGON ((103.8046966812921 1.468546802775403, 103.8056650751605 1.467987700314786, 103.8056650751605 1.466869495393553, 103.8046966812921 1.466310392932936, 103.8037282874237 1.466869495393553, 103.8037282874237 1.467987700314786, 103.8046966812921 1.468546802775403))"
25,"POLYGON ((103.806633469029 1.468546802775403, 103.8076018628974 1.467987700314786, 103.8076018628974 1.466869495393553, 103.806633469029 1.466310392932936, 103.8056650751605 1.466869495393553, 103.8056650751605 1.467987700314786, 103.806633469029 1.468546802775403))"
26,"POLYGON ((103.8085702567658 1.468546802775403, 103.8095386506342 1.467987700314786, 103.8095386506342 1.466869495393553, 103.8085702567658 1.466310392932936, 103.8076018628974 1.466869495393553, 103.8076018628974 1.467987700314786, 103.8085702567658 1.468546802775403))"
27,"POLYGON ((103.8105070445027 1.468546802775403, 103.8114754383711 1.467987700314786, 103.8114754383711 1.466869495393553, 103.8105070445027 1.466310392932936, 103.8095386506343 1.466869495393553, 103.8095386506343 1.467987700314786, 103.8105070445027 1.468546802775403))"
28,"POLYGON ((103.8124438322395 1.468546802775403, 103.8134122261079 1.467987700314786, 103.8134122261079 1.466869495393553, 103.8124438322395 1.466310392932936, 103.8114754383711 1.466869495393553, 103.8114754383711 1.467987700314786, 103.8124438322395 1.468546802775403))"
29,"POLYGON ((103.8143806199764 1.468546802775403, 103.8153490138448 1.467987700314786, 103.8153490138448 1.466869495393553, 103.8143806199764 1.466310392932936, 103.813412226108 1.466869495393553, 103.813412226108 1.467987700314786, 103.8143806199764 1.468546802775403))"
