address,latitude,longitude
720 BEDOK RESERVOIR RD,1.335972774,103.924883
765 BEDOK RESERVOIR VIEW,1.3357061190000001,103.9363386
10 CHAI CHEE RD,1.3272757240000002,103.92480359999999
185 BEDOK NTH RD,1.326237253,103.94082759999999
111 LENGKONG TIGA,1.324058778,103.9113038
220B BEDOK CTRL,1.325477105,103.9343482
603 BEDOK RESERVOIR RD,1.33000184,103.912464
21 CHAI CHEE RD,1.326473555,103.9222838
672 JLN DAMAI,1.33207913,103.9087571
415 BEDOK NTH AVE 2,1.329649995,103.9302606
763 BEDOK RESERVOIR VIEW,1.336072095,103.9348306
805 CHAI CHEE RD,1.324306049,103.92162540000001
723 BEDOK RESERVOIR RD,1.3369543940000002,103.9289606
722 BEDOK RESERVOIR RD,1.336636993,103.9282078
219C BEDOK CTRL,1.324855984,103.9335196
640 BEDOK RESERVOIR RD,1.332101322,103.9049532
160 BEDOK STH AVE 3,1.31925983,103.94520290000001
94C BEDOK NTH AVE 4,1.333614296,103.9426283
22 SIN MING RD,1.357284441,103.83939670000001
407 SIN MING AVE,1.363453206,103.8342146
105 BISHAN ST 12,1.3458949359999999,103.84736529999999
167 BISHAN ST 13,1.347252245,103.8554647
111 BISHAN ST 12,1.3470675269999999,103.8480637
181 BISHAN ST 13,1.349138096,103.8528785
166 BISHAN ST 13,1.348863451,103.85522579999999
109 BISHAN ST 12,1.346750596,103.8479902
115 BISHAN ST 12,1.3479183890000002,103.84875009999999
260 BISHAN ST 22,1.3596137680000002,103.8421874
275A BISHAN ST 24,1.35673539,103.8435198
214 BISHAN ST 23,1.357511897,103.8483034
182 BISHAN ST 13,1.350205825,103.85304920000002
448 BRIGHT HILL DR,1.35840617,103.8314316
402 SIN MING AVE,1.362768866,103.8327589
128 BISHAN ST 12,1.34608832,103.85046679999999
303 SHUNFU RD,1.349769429,103.8384765
231 BISHAN ST 23,1.357468051,103.84643270000001
134 BISHAN ST 12,1.345411048,103.8520798
342 BT BATOK ST 34,1.362583231,103.74857490000001
530 BT BATOK ST 51,1.3561819919999998,103.7510934
145 BT BATOK ST 11,1.349973055,103.7437249
528 BT BATOK ST 51,1.3566514680000001,103.7510918
537 BT BATOK ST 52,1.355115164,103.7508779
213 BT BATOK ST 21,1.346818455,103.7524969
