address,storey_range,floor_area_sqm,lease_commence_date,remaining_lease,resale_price,sold_year,sold_month,latitude,longitude,raffles_place_dist,one_north_dist,jurong_east_dist,orchard_dist,changi_dist,raffles_place_drive,one_north_drive,jurong_east_drive,orchard_drive,changi_drive,mrt_dist,near_bus_itc,near_mrt_itc,bus_u300m,bus_dist,mall_u1km,mall_dist,pri_u1km,pri_u2km,pri_aff_u1km,pri_aff_u2km,pri_elite_u1km,pri_elite_u2km,sec_u1km,sec_u2km,sec_aff_u1km,sec_aff_u2km,sec_elite_u1km,sec_elite_u2km,dist_to_highway,dist_to_exits,price_per_sqft,unit_price,elem_price,hex_id,town,town_min_unit_price,town_max_unit_price,appeal_score
472 SEGAR RD,6.666666666666668,108.66666666666669,2002.0,82.72222222222223,378432.0,2018.333333333333,6.666666666666668,1.3879109630000002,103.7725725,55.77,53.82,40.23,46.53,77.98,29.25,24.95,16.650000000000002,21.88,41.42000000000001,1543.0,0.0,0.0,3.0,115.0,2.0,467.0,4.0,6.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,206.0,188.0,3496.0727947815667,42.2569603815904,11.802125150556607,3279.0,BUKIT PANJANG,41.18990670299474,70.64784749753744,0.03622295550248856
472 SEMBAWANG DR,9.2,130.2,2000.0,80.116,452000.0,2018.8,8.0,1.451583083,103.816245,47.03,56.36999999999999,44.92,43.0,64.95,40.38,42.57,37.62,36.32,46.07,548.0,0.0,0.0,7.0,125.0,1.0,517.0,5.0,7.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,3559.0,3403.0,3471.638285378744,43.335581467770965,5.737759128235282,255.0,SEMBAWANG,38.702890868179296,58.66005130077338,0.23213175116964768
472 TAMPINES ST 44,3.5,161.0,1993.0,73.625,833000.0,2018.5,6.5,1.3598758309999999,103.9534599,47.33,73.8,72.8,54.65,18.1,28.1,36.03,38.2,24.57,13.55,511.0,0.0,0.0,8.0,175.0,0.0,1112.0,3.0,11.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,524.0,558.0,5178.801558822393,70.3759785682212,25.498580387742553,4360.0,TAMPINES,45.923453241354,83.46135467326172,0.6514089598541655
472C FERNVALE ST,17.0,113.0,2016.0,95.58,572000.0,2020.0,2.0,1.3963155219999999,103.8811673,37.25,49.7,69.57,39.48,46.0,25.65,33.93,37.43,22.12,26.47,1676.0,0.0,0.0,2.0,94.0,1.0,788.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,490.0,508.0,5061.946902654869,52.96031494721561,3.1153126439538594,1894.0,SENGKANG,41.178724969218116,67.75428524303348,0.443324236878113
473 ANG MO KIO AVE 10,6.4,77.2,1984.0,64.738,311166.66666666674,2018.333333333333,6.466666666666668,1.363053809,103.85684599999996,28.300000000000008,35.60000000000001,47.75,24.27,46.22000000000001,17.099999999999998,24.5,28.230000000000004,13.620000000000005,30.62,1048.0,0.0,0.0,2.0,101.0,1.0,941.0,3.0,8.0,0.0,1.0,0.0,1.0,1.0,9.0,0.0,1.0,0.0,2.0,205.0,459.0,4040.144229894665,62.37062977025162,15.172456956048654,2938.0,ANG MO KIO,48.941092721124754,93.79298471217095,0.2994196332187683
473 CHOA CHU KANG AVE 3,8.333333333333334,104.66666666666669,1999.0,79.65777777777777,344320.88888888893,2018.2222222222226,5.5555555555555545,1.379618211,103.73811550000002,46.42000000000001,42.02,33.88,41.77,70.98,35.2,27.1,13.47,28.52,48.07,957.0,0.0,0.0,8.0,120.0,3.0,216.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,296.0,300.0,3280.393179317932,41.17325709916521,6.826538906320231,1724.0,CHOA CHU KANG,38.237492386353885,61.43536358576746,0.12655319479856156
473 JURONG WEST ST 41,2.75,76.0,1984.0,65.2475,256625.0,2018.25,6.5,1.34883175,103.7227342,37.68,30.53,18.23,43.0,71.33,27.33,19.23,7.08,26.37,45.92,560.0,0.0,0.0,6.0,173.0,0.0,1173.0,2.0,6.0,0.0,0.0,2.0,2.0,6.0,7.0,0.0,1.0,0.0,1.0,645.0,665.0,3398.106911678169,52.09209478357124,21.74392138200466,5195.0,JURONG WEST,36.95491500369549,74.36245474002018,0.4046558497718242
473 PASIR RIS DR 6,5.0,103.0,1989.0,70.16666666666667,405000.0,2018.0,5.166666666666667,1.374265726,103.9565955,37.48,59.88,75.0,48.13,23.77,31.07,40.28,42.45,28.82,16.12,822.0,0.0,0.0,7.0,69.0,2.0,439.0,2.0,6.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,918.0,1010.0,3932.038834951457,56.068252330216396,14.924091762891159,2380.0,PASIR RIS,43.50398179749715,71.55825353538319,0.44785587913700015
473 SEGAR RD,8.3,111.9,2003.0,83.76599999999998,391788.8,2017.9,5.3,1.388237313,103.7721445,54.5,52.55,38.82,45.27,76.72000000000001,29.62,25.32,16.72,22.35,41.88,1531.0,0.0,0.0,2.0,69.0,2.0,486.0,4.0,6.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,208.0,200.0,3508.2642372154883,41.87357503548251,6.91781907327667,3279.0,BUKIT PANJANG,41.18990670299474,70.64784749753744,0.02320828659600077
473 SEMBAWANG DR,8.0,96.77777777777777,2000.0,81.43444444444442,349666.66666666674,2017.888888888889,6.222222222222222,1.451336282,103.81652240000004,46.05,55.38,45.88,42.02,63.97000000000001,40.23,42.42000000000001,37.47,36.22,45.95,507.0,0.0,0.0,9.0,92.0,1.0,475.0,5.0,7.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,3552.0,3400.0,3618.0819180819176,44.42987504956744,8.916093796537734,255.0,SEMBAWANG,38.702890868179296,58.66005130077338,0.28696387949233604
474 ANG MO KIO AVE 10,6.8,68.4,1984.0,63.83399999999999,265280.0,2018.7,7.7,1.3627578469999997,103.8580153,29.92000000000001,37.22000000000001,49.37,25.88000000000001,47.82999999999999,17.229999999999997,24.65,28.38000000000001,13.680000000000005,30.68,1167.0,0.0,0.0,3.0,198.0,1.0,825.0,3.0,9.0,0.0,1.0,0.0,1.0,1.0,9.0,0.0,1.0,0.0,2.0,85.0,408.0,3876.8527731711797,60.740277793771114,14.477695298695865,2944.0,ANG MO KIO,48.941092721124754,93.79298471217095,0.2630699519877966
474 CHOA CHU KANG AVE 3,9.0,113.33333333333331,1999.0,80.23666666666666,385333.33333333326,2017.666666666667,5.333333333333333,1.3786388840000001,103.7379059,46.32,41.82,33.68,43.37,74.82,34.38,26.28,12.65,27.680000000000003,47.23,1053.0,0.0,0.0,11.0,88.0,2.0,148.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,357.0,347.0,3386.6666666666674,42.20317443058024,5.202092714184452,1740.0,CHOA CHU KANG,38.237492386353885,61.43536358576746,0.1709502570359389
474 JURONG WEST ST 41,7.25,95.125,1984.0,65.40625,345375.0,2018.0,5.625,1.348097075,103.7241842,39.3,32.53,17.08,43.89999999999999,72.95,27.7,19.6,7.200000000000001,26.57,46.10000000000001,566.0,0.0,0.0,5.0,141.0,0.0,1316.0,3.0,9.0,0.0,0.0,2.0,2.0,6.0,9.0,0.0,1.0,0.0,1.0,666.0,604.0,3647.007971961228,55.742429363135436,9.913811194779377,5196.0,JURONG WEST,36.95491500369549,74.36245474002018,0.5022387062038266
474 PASIR RIS DR 6,5.0,103.66666666666669,1989.0,71.19666666666667,418333.33333333326,2017.333333333333,6.0,1.374741403,103.9566217,38.72,61.12,76.23,49.97,29.0,30.68,39.92,42.07,28.43,15.73,837.0,0.0,0.0,7.0,120.0,2.0,395.0,2.0,6.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,964.0,1058.0,4036.215133302512,56.694691474327925,15.367974081570553,2380.0,PASIR RIS,43.50398179749715,71.55825353538319,0.47018542488191967
