name,cutoff_point,affiliation,latitude,longitude
Juying Secondary School,195,0,1.338178835,103.68720649999999
Naval Base Secondary School,195,0,1.4192452930000001,103.8310441
Hougang Secondary School,194,0,1.37815588,103.8818716
Punggol Secondary School,194,0,1.402126295,103.9091193
Regent Secondary School,190,0,1.393094082,103.7506856
Bukit Merah Secondary School,189,0,1.285751537,103.81320840000001
Changkat Changi Secondary School,189,0,1.34036114,103.9527251
Dunearn Secondary School,189,0,1.363638093,103.7450033
New Town Secondary School,189,0,1.309986316,103.77324899999999
Ping Yi Secondary School,189,0,1.327140285,103.9208358
Springfield Secondary School,189,0,1.3495756319999999,103.93021829999999
Assumption English School,188,0,1.3685340540000002,103.766675
Bartley Secondary School,188,0,1.34001742,103.88245500000001
Bedok Green Secondary School,188,0,1.333826681,103.9355132
Bendemeer Secondary School,188,0,1.324611113,103.86097029999999
Boon Lay Secondary School,188,0,1.3432237230000001,103.70170290000002
Broadrick Secondary School,188,0,1.30750538,103.8866754
Canberra Secondary School,188,0,1.453279711,103.8144707
Damai Secondary School,188,0,1.33754548,103.9264171
East Spring Secondary School,188,0,1.3567583,103.9611048
Fajar Secondary School,188,0,1.375565392,103.7638819
Fuchun Secondary School,188,0,1.430833988,103.777148
Greenridge Secondary School,188,0,1.381924186,103.773617
Guangyang Secondary School,188,0,1.344673253,103.8505502
Hong Kah Secondary School,188,0,1.351666671,103.7270839
Junyuan Secondary School,188,0,1.3533412409999999,103.93341140000001
Loyang Secondary School,188,0,1.366658318,103.9580664
Manjusri Secondary School,188,0,1.327520222,103.901811
Marsiling Secondary School,188,0,1.4366442480000001,103.77600809999998
Northbrooks Secondary School,188,0,1.420881025,103.8450603
Northland Secondary School,188,0,1.43573962,103.8401047
Outram Secondary School,188,0,1.286387486,103.8370728
Peicai Secondary School,188,0,1.3592732490000001,103.8704923
Queenstown Secondary School,188,0,1.2935332940000002,103.8131755
Sembawang Secondary School,188,0,1.4453150209999999,103.8168433
Serangoon Garden Secondary School,188,0,1.3698904840000001,103.8691497
Serangoon Secondary School,188,0,1.375555333,103.9019104
Tanglin Secondary School,188,0,1.3097734779999999,103.75821540000001
Teck Whye Secondary School,188,0,1.383348181,103.7551824
Whitley Secondary School,188,0,1.355494624,103.8425639
Woodlands Secondary School,188,0,1.439183317,103.7744988
Yio Chu Kang Secondary School,188,0,1.3782633530000001,103.8418094
Yuhua Secondary School,188,0,1.347218449,103.72258149999999
Yusof Ishak Secondary School,188,0,1.3423337780000002,103.7600131
Yuying Secondary School,188,0,1.356933603,103.89045759999999
