coordinates,raffles_place_dist,one_north_dist,jurong_east_dist,orchard_dist,changi_dist,raffles_place_drive,one_north_drive,jurong_east_drive,orchard_drive,changi_drive
"(1.346373764, 103.7124728)",39.5,33.5,26.0,41.7,73.15,28.03,19.93,9.43,27.63,47.18
"(1.347131796, 103.707996)",42.68,36.37,25.2,44.88,76.33,28.87,20.77,10.25,28.02,47.55
"(1.3515913940000002, 103.7246401)",39.48,32.33,14.32,50.25,73.13,27.62,19.52,6.22,25.58,45.12
"(1.352663872, 103.7044481)",43.4,37.4,25.0,45.6,77.05,30.58,22.48,11.75,28.68,48.22
"(1.3437247469999998, 103.7009391)",44.33,37.58,31.68,46.53,76.83,30.63,22.53,12.37,30.22,49.77
"(1.343260813, 103.6993343)",45.4,38.47,27.88,48.27,77.02,31.5,23.4,13.48,30.53,50.08
"(1.343266151, 103.7154119)",35.27,28.83,22.08,38.82,68.92,29.17,21.07,10.55,29.13,48.68
"(1.3443661169999999, 103.6946035)",42.93,36.67,32.8,45.13,76.58,30.17,22.07,13.75,30.68,50.22
"(1.352412935, 103.70222120000001)",42.23,36.23,28.9,44.43,75.88,31.55,23.45,12.72,29.65,49.18
"(1.333691295, 103.7225032)",39.23,33.23,28.47,41.43,72.88,24.47,16.37,10.45,27.48,46.82
"(1.351129349, 103.7044448)",43.6,37.6,27.5,45.8,77.25,30.75,22.65,11.3,28.28,47.82
"(1.3411751809999999, 103.6864521)",48.45,41.52,30.93,53.5,80.07,31.0,22.9,14.12,31.05,50.58
"(1.33685328, 103.70047729999999)",39.83,32.68,23.08,42.03,73.48,29.02,20.92,13.08,32.02,51.35
"(1.336596609, 103.69537820000001)",38.95,31.8,22.2,41.15,72.6,29.35,21.25,14.47,32.37,51.68
"(1.3333214009999999, 103.7222886)",40.08,34.08,29.32,42.28,73.73,24.6,16.5,10.58,27.62,46.95
"(1.3361114029999999, 103.721401)",37.13,29.98,26.6,42.07,70.78,26.72,18.62,10.38,29.52,48.92
"(1.335844658, 103.6972932)",38.8,31.65,22.05,41.0,72.45,29.82,21.72,13.85,32.27,51.8
"(1.342413993, 103.6987772)",40.7,33.55,23.95,46.02,74.35,30.87,22.77,13.4,30.45,50.0
"(1.3513707069999998, 103.7175022)",39.53,32.38,17.33,45.88,73.18,28.68,20.58,8.8,28.17,47.7
"(1.349491164, 103.72254509999999)",37.65,30.5,17.3,42.97,71.3,27.2,19.1,7.63,26.9,46.45
"(1.335425627, 103.6969347)",39.68,32.53,22.93,41.88,73.33,30.03,21.93,14.07,32.45,51.98
"(1.3369570640000001, 103.6956682)",38.2,31.07,25.07,42.63,71.85,29.45,21.35,14.58,32.48,51.82
"(1.337271661, 103.7243555)",37.32,31.32,26.4,43.52,70.97,25.15,17.05,9.27,28.18,47.52
"(1.344567771, 103.7190189)",30.65,23.53,18.47,33.32,64.3,27.4,19.1,8.27,27.53,47.08
"(1.342055197, 103.6862886)",47.78,40.85,30.27,52.83,79.4,31.45,23.35,14.57,31.5,51.03
"(1.34533161, 103.6934366)",42.55,36.55,35.0,44.75,76.2,30.25,22.15,13.83,30.85,50.38
"(1.343994515, 103.7053963)",41.23,35.23,26.45,43.43,74.88,29.38,21.28,11.28,29.45,49.0
"(1.354097927, 103.7253247)",42.55,35.62,15.63,45.87,74.17,28.88,20.78,7.48,26.83,46.37
"(1.3355209670000001, 103.6998269)",40.98,33.83,24.23,43.18,74.63,28.57,20.47,12.65,31.58,50.9
"(1.3536221030000002, 103.71785849999999)",45.75,38.82,18.85,50.8,77.37,29.83,21.73,9.45,28.7,48.23
"(1.3426618280000002, 103.7002088)",40.92,33.77,24.17,46.23,74.57,30.53,22.43,12.52,29.57,49.1
"(1.32676126, 103.7212885)",42.03,36.03,31.27,44.23,75.02,22.83,14.73,11.27,25.83,45.17
"(1.348494412, 103.7212452)",36.97,29.82,19.77,42.2,70.62,27.22,19.12,7.6,26.87,46.42
"(1.3417196470000001, 103.70715059999999)",39.23,32.08,22.48,41.43,72.88,28.6,20.5,10.43,29.3,48.83
"(1.360360286, 103.7628386)",34.95,36.43,25.48,30.77,62.63,27.82,19.72,8.67,21.98,41.52
"(1.326612098, 103.85843620000001)",23.32,36.97,58.62,18.98,49.85,14.65,22.95,25.5,11.1,32.07
"(1.3215832159999998, 103.8714196)",16.93,37.87,50.4,30.08,31.35,13.48,24.27,28.15,12.43,28.92
"(1.321124993, 103.86583329999999)",17.12,38.82,49.13,22.38,37.48,11.02,20.98,24.12,9.13,25.22
"(1.321550403, 103.85463490000001)",23.02,44.87,57.43,17.92,43.92,11.48,19.78,23.92,7.92,28.87
"(1.324418755, 103.85818509999999)",22.13,41.0,60.13,23.03,49.4,13.1,21.4,24.78,9.57,30.52
"(1.323575758, 103.8598772)",18.9,40.93,56.9,22.95,45.78,14.98,23.27,25.83,11.45,26.95
"(1.3015635970000001, 103.8840285)",18.72,45.28,55.12,27.0,30.97,12.25,24.32,27.88,15.07,23.68
"(1.323380611, 103.8704616)",18.37,38.97,51.5,29.97,32.78,12.5,23.28,27.17,11.45,27.93
"(1.304033006, 103.86492840000001)",13.2,33.43,48.17,18.95,34.1,8.0,20.18,26.83,9.05,25.22
"(1.328278539, 103.85609740000001)",24.48,38.13,58.75,20.17,53.93,12.62,20.9,23.47,8.82,29.77
"(1.321979417, 103.8557543)",23.95,45.62,61.95,25.65,53.42,11.78,20.08,24.22,7.9,28.87
"(1.323574833, 103.8570349)",25.07,42.47,63.07,24.48,56.0,11.9,20.2,24.32,8.35,29.32
"(1.318176427, 103.86140379999999)",12.43,29.08,42.97,14.6,36.17,10.55,20.52,24.78,8.82,26.05
"(1.324061597, 103.8628338)",18.63,40.67,56.63,22.68,42.27,14.5,22.8,25.35,10.95,26.45
"(1.324471341, 103.86193670000002)",19.88,41.92,57.13,23.93,41.72,13.87,22.17,24.72,10.37,25.87
"(1.323723796, 103.86299509999999)",18.07,40.1,56.07,22.12,42.38,13.68,21.98,24.53,10.12,25.62
"(1.2988408790000001, 103.859351)",7.82,31.3,42.05,16.82,34.18,5.68,17.85,26.22,6.7,23.15
"(1.326589759, 103.85618790000001)",23.62,37.27,58.92,23.7,50.15,13.63,21.93,24.48,9.25,30.2
"(1.3227572490000001, 103.8686387)",19.45,41.78,53.28,28.05,33.72,13.25,23.25,26.38,11.48,27.57
"(1.312108235, 103.8737837)",11.98,34.47,46.35,21.6,30.38,11.92,22.85,25.0,11.38,24.62
"(1.320643815, 103.86163409999999)",13.23,29.88,43.77,15.4,39.12,12.92,22.67,25.23,9.93,25.45
"(1.317088035, 103.86089670000001)",15.52,32.17,46.05,17.68,37.4,10.75,20.7,24.98,8.87,26.1
"(1.315054205, 103.87030370000001)",15.2,39.68,49.2,23.58,33.2,13.38,24.7,27.65,13.58,27.62
"(1.320179385, 103.8663658)",20.08,41.78,52.1,26.57,40.27,11.82,21.78,26.12,9.73,27.02
"(1.328133709, 103.85956)",25.38,37.78,49.93,22.12,45.58,14.8,23.1,25.65,11.33,32.28
"(1.323645148, 103.8682953)",18.33,40.05,54.03,26.1,34.47,13.37,23.37,26.5,11.53,27.62
"(1.322291025, 103.8601741)",16.73,33.38,48.65,20.78,44.0,14.7,22.98,25.55,11.18,26.68
"(1.312367682, 103.8521093)",13.92,29.18,44.45,16.58,39.8,11.13,20.5,24.98,6.25,29.02
"(1.302648966, 103.9121848)",34.0,56.42,68.18,42.57,37.95,15.53,26.43,32.77,18.62,18.08
"(1.3037055659999999, 103.9114448)",32.42,53.98,66.6,40.98,37.95,14.98,25.88,32.22,18.08,17.55
"(1.303715887, 103.91506700000001)",34.42,56.83,68.62,43.0,39.52,15.73,26.63,32.97,18.93,17.78
"(1.30414964, 103.912124)",30.55,52.12,64.73,39.12,37.93,14.93,25.83,32.17,17.55,17.02
"(1.3053022909999998, 103.915014)",31.85,53.42,66.05,40.43,35.33,15.55,26.45,32.78,18.65,17.5
"(1.303767822, 103.914176)",33.67,56.08,67.85,42.23,37.88,15.87,26.77,33.1,19.13,17.98
"(1.302849836, 103.91319720000001)",34.3,56.72,68.48,42.87,38.25,15.58,26.48,32.82,20.73,14.73
"(1.3038054159999999, 103.9083624)",29.87,51.43,62.83,43.58,37.65,15.53,26.43,32.78,18.47,18.22
"(1.3703064930000002, 103.95601500000001)",38.33,61.38,71.85,49.63,23.82,30.6,39.0,41.17,27.53,14.8
"(1.363452585, 103.9589017)",46.63,69.68,80.15,57.93,33.55,30.0,38.38,40.55,26.9,14.17
"(1.367952786, 103.9587026)",38.25,61.3,71.77,49.55,23.32,31.6,40.0,42.15,28.53,15.78
"(1.377864942, 103.93407540000001)",43.83,61.03,79.12,45.23,37.58,27.8,37.02,39.18,24.38,16.45
"(1.3699683319999998, 103.95600259999999)",39.48,62.53,73.0,51.78,24.35,31.17,39.55,41.72,27.53,14.8
"(1.3671492, 103.95480529999999)",43.27,66.05,76.52,52.8,28.47,32.12,40.5,42.67,29.03,16.3
"(1.3716686830000002, 103.9617637)",42.35,67.0,77.63,52.77,29.1,30.88,39.27,41.43,27.83,15.1
"(1.36755918, 103.9632633)",45.73,70.38,81.02,56.15,25.05,29.57,37.97,40.13,26.5,13.77
"(1.365487831, 103.95527340000001)",51.47,75.95,88.05,60.53,34.77,32.03,40.43,42.6,28.97,16.23
"(1.3658931630000002, 103.95522170000001)",50.37,73.42,83.88,60.42,33.3,31.48,39.88,42.05,28.42,15.68
"(1.367524903, 103.9547814)",42.4,65.18,75.65,51.93,27.6,32.05,40.43,42.6,28.97,16.23
"(1.373898765, 103.9589293)",41.2,63.6,78.72,52.03,30.3,32.52,40.92,43.07,29.45,16.72
"(1.3661386340000001, 103.96033659999999)",40.92,67.33,74.43,53.12,21.43,30.37,38.75,40.92,27.28,14.55
"(1.3683636119999998, 103.96066009999998)",43.1,67.12,77.58,53.52,22.93,30.73,39.12,41.28,28.43,15.68
"(1.3753110119999998, 103.9420473)",39.68,62.92,74.97,50.1,30.72,29.87,39.1,41.27,27.63,17.03
"(1.367894877, 103.95472170000001)",42.1,64.88,75.35,51.63,27.3,31.37,39.75,41.92,28.28,15.55
"(1.377553847, 103.93638349999999)",43.4,62.48,78.68,46.68,34.82,27.37,36.58,38.75,25.12,17.5
"(1.374041675, 103.95999920000001)",42.43,67.08,77.72,52.85,32.7,31.85,40.23,42.4,28.77,16.03
"(1.37352014, 103.9456155)",37.58,60.72,74.85,48.6,28.95,29.57,38.8,40.95,27.33,15.65
"(1.373888578, 103.9458762)",38.5,60.9,72.9,48.03,28.78,29.25,38.47,40.63,27.0,15.33
"(1.362407845, 103.96054409999999)",46.05,69.8,80.27,56.47,22.88,30.22,38.6,40.77,27.13,14.4
"(1.361550354, 103.9620085)",42.7,67.1,75.83,55.65,19.53,32.55,40.93,43.1,29.5,16.77
"(1.37679049, 103.9407416)",40.37,62.77,75.3,51.08,33.65,29.32,38.55,40.7,27.08,16.4
"(1.367025315, 103.9521346)",39.47,62.25,72.72,49.0,29.02,30.75,39.98,42.13,28.52,16.7
"(1.3751062269999998, 103.9351472)",46.83,71.13,81.88,57.25,40.23,28.08,37.32,39.48,25.85,16.52
"(1.3763070469999998, 103.9345593)",44.85,63.93,80.13,48.13,38.75,27.35,36.57,38.73,24.8,16.32
"(1.3747209999999999, 103.9616719)",37.88,61.02,75.15,49.13,28.17,31.77,40.17,42.33,28.7,15.97
"(1.3759541480000002, 103.934299)",45.53,64.47,80.82,48.67,39.43,27.33,36.57,38.72,25.05,16.57
"(1.3782086009999999, 103.9346461)",44.42,62.12,79.7,46.32,36.45,26.4,35.62,37.78,24.15,16.23
"(1.3750824959999999, 103.9361118)",44.7,67.55,79.75,51.75,38.1,27.97,37.2,39.37,25.53,16.2
"(1.3734934619999999, 103.9571611)",38.9,61.3,71.2,49.55,29.18,31.73,40.97,43.13,29.48,16.78
"(1.368214597, 103.9531458)",39.98,62.77,73.23,49.52,28.43,29.97,39.2,41.37,28.08,16.27
"(1.365298121, 103.95916020000001)",44.7,67.75,78.22,56.0,23.95,30.68,39.07,41.23,27.48,14.73
"(1.36606697, 103.958731)",42.55,65.6,76.07,53.85,25.58,30.73,39.13,41.3,27.67,14.93
"(1.3693840519999998, 103.95649209999999)",37.85,60.9,71.37,49.15,24.0,30.93,39.33,41.5,27.87,15.13
"(1.3783821530000002, 103.9410968)",39.07,61.47,74.0,49.78,29.35,29.28,38.5,40.67,27.03,18.12
"(1.366396509, 103.960047)",41.7,68.12,75.22,53.9,22.22,30.15,38.53,40.7,27.07,14.33
"(1.36745078, 103.9525501)",39.52,62.3,72.77,49.05,29.17,30.87,40.1,42.25,28.68,16.87
"(1.3675903809999999, 103.9502818)",37.57,60.7,70.55,46.83,29.97,31.5,40.72,42.88,29.25,17.48
"(1.374995864, 103.94151059999999)",39.32,62.55,74.6,50.2,30.35,29.18,38.4,40.57,26.93,16.33
"(1.368008219, 103.95191)",37.58,60.72,70.57,46.85,26.83,30.27,39.48,41.65,27.97,16.15
"(1.373099927, 103.94567420000001)",36.08,59.22,71.72,47.33,27.45,29.6,38.82,40.98,27.35,15.68
"(1.370264184, 103.96240970000001)",43.88,66.75,79.17,53.87,29.75,31.95,40.35,42.5,28.88,16.13
"(1.364083645, 103.9628953)",44.13,68.93,79.18,56.13,20.03,32.08,40.48,42.65,28.97,16.23
"(1.3692644919999999, 103.96169259999999)",44.67,68.68,79.15,55.08,25.0,30.33,38.73,40.9,27.27,14.53
"(1.366249489, 103.96191850000001)",44.25,68.9,78.83,53.97,21.1,30.47,38.87,41.02,27.4,14.65
"(1.3700742559999999, 103.96100190000001)",44.57,68.58,79.05,54.98,26.53,30.52,38.9,41.07,27.43,14.7
"(1.3706219290000001, 103.9611105)",43.62,68.27,78.9,54.03,29.95,30.9,39.28,41.45,27.8,15.07
"(1.3711001219999999, 103.9630468)",42.77,67.42,78.05,53.18,29.25,31.67,40.05,42.22,28.02,15.27
"(1.3764117869999999, 103.9455965)",40.05,62.45,77.57,50.37,31.12,29.97,39.2,41.35,27.73,16.23
"(1.376386083, 103.9424626)",42.63,69.72,77.63,53.42,33.67,28.62,37.85,40.0,26.38,15.78
"(1.3780831969999998, 103.93817299999999)",45.65,64.9,79.17,49.1,34.32,27.62,36.83,39.0,25.37,17.0
"(1.3726885009999998, 103.955507)",38.77,61.17,76.28,49.42,29.05,31.37,39.77,41.93,28.3,15.57
"(1.374416936, 103.9382074)",42.05,66.35,77.1,52.47,35.45,28.58,37.82,39.98,26.35,15.13
"(1.37042586, 103.9545168)",43.25,66.03,76.5,52.78,24.6,31.92,40.3,42.47,28.88,16.15
"(1.376654401, 103.9452348)",40.38,62.78,77.9,51.08,31.83,30.17,39.38,41.55,27.92,16.42
"(1.370392935, 103.9508548)",38.63,62.17,74.13,48.17,25.88,30.77,40.0,42.17,28.53,16.85
"(1.37083216, 103.95088270000001)",39.27,62.8,74.77,48.8,26.52,30.9,40.12,42.28,28.72,17.05
"(1.402964008, 103.90784740000001)",38.12,50.57,68.33,38.47,42.77,27.1,36.33,38.5,24.97,21.67
"(1.406081435, 103.90643840000001)",37.35,49.8,67.57,37.7,51.22,27.08,36.12,38.48,24.85,21.55
"(1.406403852, 103.9059582)",36.45,48.9,66.67,36.8,50.32,27.27,36.28,38.65,25.02,21.72
"(1.401372012, 103.9064857)",36.85,49.3,67.07,37.2,38.33,26.63,35.85,38.02,24.32,21.03
"(1.401325905, 103.9053783)",37.33,49.78,67.55,37.68,38.67,27.05,36.27,38.43,24.8,21.5
"(1.398682245, 103.9032111)",37.62,50.07,68.48,38.88,41.23,29.08,38.3,40.47,26.85,23.55
"(1.398524282, 103.9038627)",37.02,49.47,67.88,38.28,40.53,28.97,38.2,40.37,26.75,23.45
"(1.398778276, 103.90291090000001)",37.85,50.3,68.72,42.45,40.85,27.55,36.78,38.95,25.33,22.03
"(1.394630782, 103.9122939)",35.32,47.77,69.05,37.55,43.78,27.7,36.93,39.1,25.07,23.13
"(1.398162762, 103.9167142)",37.68,50.13,68.78,39.92,52.27,29.07,38.28,40.45,26.82,24.38
"(1.39541568, 103.9069122)",39.0,51.45,70.1,41.23,39.23,28.1,37.33,39.5,25.77,22.47
"(1.398148805, 103.9157809)",39.15,51.6,70.25,41.38,50.05,27.48,36.7,38.87,25.23,22.8
"(1.3976923980000002, 103.915172)",38.7,51.15,72.43,40.93,48.32,27.18,36.4,38.57,24.93,22.52
"(1.404277103, 103.9082778)",34.77,47.22,65.75,38.13,52.4,27.83,37.05,39.22,25.52,22.22
"(1.4049385840000002, 103.9081572)",33.78,46.23,64.77,36.38,48.42,27.88,37.1,39.27,25.73,22.43
"(1.4035588369999998, 103.9101535)",34.2,46.65,65.3,36.43,50.1,28.57,37.8,39.97,26.1,22.8
"(1.402393288, 103.9106968)",34.93,47.38,65.15,35.28,48.8,27.93,37.17,39.33,25.63,22.35
"(1.402605242, 103.91142669999999)",36.35,48.8,67.17,37.3,50.82,28.42,37.65,39.8,26.18,22.88
"(1.402675272, 103.9032975)",37.87,50.32,68.08,38.22,45.42,27.27,36.5,38.67,25.02,21.72
"(1.4050777159999999, 103.9077599)",34.52,46.97,65.5,37.23,45.55,27.85,37.07,39.23,25.18,21.88
"(1.401686288, 103.9118158)",36.28,48.73,67.38,37.67,54.03,28.53,37.77,39.93,26.37,23.08
"(1.4041721630000001, 103.90618609999999)",37.75,50.2,67.97,38.1,40.77,27.08,36.3,38.47,24.9,21.6
"(1.404164316, 103.9091177)",33.45,45.9,64.55,35.68,49.35,27.77,36.98,39.15,25.43,22.13
"(1.4040520619999999, 103.9053002)",36.37,48.82,66.58,36.72,39.38,26.85,36.07,38.23,24.53,21.23
"(1.403777894, 103.9057622)",35.35,50.02,67.18,37.92,40.58,26.62,35.83,38.0,24.63,21.33
"(1.404265418, 103.9058947)",37.48,49.93,68.62,37.83,40.5,27.18,36.42,38.58,24.95,21.65
"(1.404374931, 103.90478399999999)",35.37,47.93,65.7,35.83,39.08,27.17,36.38,38.55,24.87,21.57
"(1.4037824159999999, 103.8973001)",36.47,48.92,66.68,36.82,41.4,26.63,35.85,38.02,24.4,21.1
"(1.402523182, 103.90129590000001)",32.88,45.45,63.22,33.35,44.03,29.3,38.53,40.68,27.12,23.82
"(1.4019601080000001, 103.90177879999999)",33.83,46.4,64.17,34.3,44.98,28.33,37.55,39.72,25.97,22.67
"(1.403033709, 103.9016885)",32.27,45.8,58.22,33.85,43.53,29.02,38.23,40.4,26.77,23.47
"(1.3984807080000001, 103.9052498)",35.75,48.2,66.85,37.98,40.95,27.85,37.08,39.23,25.42,22.12
"(1.39731946, 103.9160186)",40.13,52.58,73.87,42.37,50.03,26.62,35.85,38.0,24.38,21.95
"(1.398470605, 103.9077693)",35.35,47.8,66.45,37.35,40.67,27.37,36.6,38.77,24.88,21.58
"(1.400455442, 103.9062079)",35.17,47.62,68.02,37.4,39.13,26.63,35.87,38.02,24.4,21.1
"(1.398557354, 103.908509)",36.23,48.68,67.33,37.6,42.57,27.47,36.7,38.87,25.1,21.82
"(1.3931729940000002, 103.9100553)",39.43,51.88,70.53,41.67,45.5,28.42,37.63,39.8,26.17,22.9
"(1.392987926, 103.91288309999999)",37.37,49.82,71.1,39.6,43.77,28.27,37.5,39.67,25.72,23.0
"(1.3970130859999998, 103.9093541)",34.9,47.35,66.0,37.13,42.17,27.93,37.15,39.32,25.78,22.7
"(1.394448669, 103.9155224)",37.12,49.57,68.02,39.35,45.13,28.8,38.03,40.18,26.55,24.12
"(1.39852262, 103.9021117)",38.23,50.68,67.95,39.73,42.43,27.7,36.92,39.08,25.28,21.98
"(1.396731877, 103.91081290000001)",37.83,50.28,68.93,40.07,43.63,27.78,37.02,39.18,25.57,23.15
"(1.4006470819999999, 103.9060066)",35.7,48.15,68.12,37.93,38.6,26.13,35.37,37.53,24.0,20.7
"(1.4001315109999999, 103.90664759999999)",34.37,46.82,67.63,36.6,39.88,26.82,36.05,38.2,24.47,21.17
"(1.3990852580000002, 103.90547140000001)",33.98,46.43,65.08,36.22,39.92,27.33,36.57,38.72,24.43,21.13
"(1.396805705, 103.9050542)",37.92,50.37,70.82,40.15,36.1,28.72,37.93,40.1,25.8,22.5
"(1.3991798069999999, 103.9150066)",38.82,51.27,69.92,41.05,51.17,28.08,37.3,39.47,25.58,23.17
"(1.399664223, 103.90449559999999)",35.6,48.05,66.47,38.63,41.08,27.9,37.12,39.28,25.57,22.28
"(1.394977318, 103.9127175)",37.23,49.68,70.97,39.47,47.7,27.95,37.18,39.33,25.67,23.43
"(1.400123957, 103.9148717)",38.43,50.88,69.53,40.67,52.9,28.1,37.33,39.5,25.58,23.17
"(1.39879751, 103.9158457)",37.63,50.08,68.73,39.87,50.6,29.83,39.05,41.22,27.58,25.17
"(1.40146582, 103.912122)",35.63,48.08,66.73,37.87,53.38,28.93,38.15,40.32,26.58,23.28
"(1.401549241, 103.9035195)",37.1,49.55,68.77,37.45,42.98,26.32,35.53,37.7,24.03,20.73
"(1.398921796, 103.9093113)",37.78,50.23,68.0,38.13,44.95,27.63,36.87,39.02,25.33,22.05
"(1.398515832, 103.91014059999999)",38.25,50.7,68.47,38.6,45.05,28.08,37.32,39.48,25.83,22.53
"(1.306160472, 103.8014957)",17.72,17.78,37.02,25.9,51.37,15.35,7.37,20.0,11.4,36.4
"(1.307042228, 103.7989574)",21.57,20.3,28.28,27.72,55.22,16.0,8.02,20.65,13.38,38.38
"(1.3037853529999999, 103.79925259999999)",20.0,16.18,27.57,26.13,53.65,14.95,6.97,19.6,15.07,39.07
"(1.291518248, 103.8025131)",17.65,22.45,36.7,30.1,51.3,13.62,8.33,18.23,14.2,36.55
"(1.304886344, 103.7991816)",17.85,17.18,25.15,26.22,51.5,14.48,6.5,19.13,14.18,38.82
"(1.290020507, 103.803188)",17.72,22.58,32.4,31.48,51.37,14.23,8.95,18.85,14.78,37.13
"(1.306822191, 103.80144709999999)",19.1,19.17,30.65,26.37,52.75,15.4,7.42,20.05,12.32,37.33
"(1.291543916, 103.803508)",18.52,21.3,37.27,28.95,52.17,14.43,9.15,19.05,15.1,37.45
"(1.292259471, 103.8024255)",17.95,22.3,37.0,29.95,51.6,13.85,8.57,18.47,14.42,36.77
"(1.292508528, 103.8039833)",17.42,17.9,29.28,27.85,51.07,13.87,8.58,18.48,14.42,36.77
"(1.307115686, 103.7952646)",18.73,14.3,24.8,24.08,52.38,15.35,4.85,17.48,14.6,38.93
"(1.309352847, 103.7948733)",20.72,13.77,24.85,20.13,54.37,15.22,4.07,16.7,12.8,37.88
"(1.29375108, 103.81195670000001)",16.52,24.67,32.2,29.0,50.17,11.1,10.48,20.73,11.58,36.1
"(1.30838826, 103.7855513)",19.55,12.35,29.75,26.68,53.2,18.68,6.68,15.73,18.37,41.27
"(1.31101769, 103.79145190000001)",22.7,14.18,26.3,24.07,56.35,15.73,3.15,16.07,13.3,38.37
"(1.311058611, 103.7918866)",22.5,13.98,26.1,24.45,56.15,15.87,4.02,16.73,13.18,38.27
"(1.296696151, 103.80426949999999)",14.47,14.95,26.33,24.9,48.12,13.92,6.6,18.48,13.88,37.15
"(1.296589236, 103.8041754)",15.1,15.58,26.97,25.53,48.75,13.95,6.63,18.52,13.88,37.15
"(1.307654538, 103.7828912)",22.92,15.95,28.65,26.93,56.57,16.77,5.67,14.82,17.1,39.1
"(1.304060128, 103.7826372)",22.55,17.53,28.88,27.45,56.2,15.47,4.67,15.5,18.05,37.77
"(1.29327775, 103.799918)",22.58,21.62,32.03,32.1,56.23,13.87,8.58,18.48,14.4,36.75
"(1.292750071, 103.79993590000001)",21.12,20.15,30.57,30.63,54.77,13.52,8.23,18.13,14.13,36.48
"(1.2933829490000002, 103.8093307)",16.7,22.48,31.07,29.18,50.35,10.82,9.82,20.07,11.35,35.88
"(1.309983984, 103.79260140000001)",21.65,12.92,25.17,25.75,55.3,15.5,3.72,16.42,13.73,38.75
"(1.307469053, 103.79718670000001)",22.3,17.7,32.13,24.88,55.95,16.35,5.2,17.83,14.42,39.5
"(1.300727923, 103.7994173)",16.12,14.87,23.42,24.48,49.77,16.02,6.28,18.92,16.12,39.98
"(1.304915957, 103.7821881)",23.93,18.92,30.27,28.83,57.58,15.35,4.55,15.38,17.97,37.7
"(1.30887985, 103.78480290000002)",19.53,12.33,25.6,26.67,53.18,18.5,6.5,15.55,18.02,40.92
"(1.294561391, 103.80969209999999)",18.88,21.73,34.9,29.38,52.53,11.32,9.9,20.15,11.85,36.38
"(1.304992003, 103.78580749999999)",17.07,19.37,22.13,24.2,62.55,15.32,2.63,16.08,16.47,37.68
"(1.294620407, 103.80927729999999)",18.23,21.02,34.18,28.67,51.88,11.25,9.83,20.08,11.67,36.2
"(1.2943174259999999, 103.80493179999999)",13.4,14.08,25.0,26.07,47.05,15.28,9.25,19.9,15.82,38.17
"(1.4515761619999998, 103.8151574)",49.88,59.22,45.77,45.85,67.8,40.63,42.82,37.85,37.08,46.82
"(1.456546013, 103.81676390000001)",46.97,56.3,41.93,42.93,65.77,38.88,41.6,36.63,35.1,44.85
"(1.455484507, 103.81619470000001)",48.18,57.52,43.15,44.15,66.98,38.73,40.92,35.97,35.08,44.82
"(1.44585217, 103.8228962)",51.23,60.57,54.4,47.2,69.15,35.95,40.27,35.3,32.42,42.15
"(1.449712836, 103.8248907)",42.32,51.65,37.65,38.28,64.7,36.72,40.22,35.27,33.23,42.97
"(1.447528577, 103.816662)",44.6,53.93,42.68,40.57,63.68,35.95,38.13,33.18,32.42,42.15
"(1.449228692, 103.8173757)",42.72,52.05,38.48,38.68,60.63,36.53,38.72,33.77,33.0,42.73
"(1.45507804, 103.81645290000002)",47.32,56.65,42.28,43.28,66.12,38.35,40.53,35.58,35.02,44.75
"(1.451694082, 103.8217157)",44.98,54.32,40.75,40.95,62.9,37.42,40.63,35.68,33.52,43.27
"(1.455880569, 103.8131468)",52.7,62.03,54.32,48.67,70.62,41.52,43.88,38.93,37.97,47.72
"(1.450298965, 103.81981479999999)",39.7,49.03,36.82,35.67,57.62,37.5,40.63,35.68,33.97,43.7
"(1.4560369969999998, 103.8155809)",49.23,58.57,44.2,45.2,68.03,39.27,41.45,36.48,35.72,45.47
"(1.450830599, 103.8142735)",50.4,59.73,53.57,46.37,68.32,36.63,38.82,33.87,33.08,42.83
"(1.455201021, 103.81358859999999)",53.5,62.83,59.77,49.47,74.52,40.67,43.03,38.08,37.13,46.87
"(1.445922619, 103.8216573)",47.27,56.6,43.23,43.23,65.18,37.25,41.55,36.6,33.7,43.43
"(1.4564743180000002, 103.8171814)",46.18,55.52,41.15,42.15,64.98,38.67,41.87,36.92,35.13,44.87
"(1.453436687, 103.8184495)",45.83,55.17,40.8,41.8,65.48,38.9,42.12,37.17,35.28,45.02
"(1.447576365, 103.8186098)",43.53,52.87,39.3,39.5,61.45,36.78,38.97,34.02,33.23,42.98
"(1.446468791, 103.82048420000001)",44.83,54.17,46.03,40.8,64.87,36.48,39.35,34.4,32.93,42.68
"(1.45500467, 103.81321209999999)",53.73,63.07,60.0,49.7,74.75,40.68,43.05,38.1,37.0,46.73
"(1.4503568340000002, 103.8257267)",44.83,54.17,44.37,40.8,64.2,36.12,41.25,36.3,32.58,42.32
"(1.450540912, 103.8206243)",40.42,49.75,37.53,36.38,58.33,37.62,40.77,35.82,34.08,43.82
"(1.450066, 103.81889090000001)",41.38,50.72,37.15,37.35,59.3,36.62,39.93,34.98,33.07,42.8
"(1.4537413209999999, 103.8181238)",46.08,55.42,41.05,42.05,65.43,39.02,42.23,37.28,35.47,45.22
"(1.4486749330000002, 103.8146922)",44.38,53.72,42.47,40.35,64.75,36.92,39.08,34.13,33.07,42.82
"(1.4516263169999999, 103.818573)",44.78,54.12,40.55,40.75,62.7,38.0,40.18,35.23,34.47,44.2
